question,answer,category,source,last_updated
"What is the water test (initial test run), and why should I do it?","The water test is a first-run procedure that confirms the cooker can build and release pressure correctly before cooking food. It helps you verify the sealing ring is seated, the lid is installed properly, and the steam release mechanism works.","Setup","Instant Pot Duo User Manual (Initial Test Run)","2026-02-01"
"How do I perform the water test on the Instant Pot Duo?","1) Place the inner pot in the base and add about 3 cups of water. 2) Close the lid and set the steam release to the sealing position. 3) Select Pressure Cook (or Manual), set 5 minutes on High pressure. 4) After the cycle ends, allow a short Natural Release, then carefully Quick Release any remaining pressure. 5) Open the lid once the float valve drops.","Setup","Instant Pot Duo User Manual (Initial Test Run)","2026-02-01"
"Where does the sealing ring go, and how do I know it’s installed correctly?","The silicone sealing ring fits around the metal ring rack on the underside of the lid. It should sit evenly with no gaps or twists. A properly seated ring lies flat in the groove and does not sag or bulge in one area.","Setup","Instant Pot Duo User Manual (Lid Parts)","2026-02-01"
"Why does my lid feel loose even when it’s closed?","Some looseness is normal before pressure builds. Once the cooker pressurizes, the float valve rises and the lid locks more firmly. If it never pressurizes, check the sealing ring, float valve, and steam release position.","Troubleshooting","Instant Pot Duo User Manual (Pressurizing)","2026-02-01"
"What is the float valve and what does it indicate?","The float valve is a small pin near the steam release area that rises when the cooker is pressurized. When it is up, the cooker is under pressure and the lid should not be opened. When it drops, pressure has released and the lid can be opened.","Safety","Instant Pot Duo User Manual (Float Valve)","2026-02-01"
"Can I open the lid while the float valve is up?","No. If the float valve is up, the cooker is pressurized and the lid should not be opened. Wait for pressure to release naturally or use a controlled quick release (as appropriate for the recipe) until the float valve drops.","Safety","Instant Pot Duo User Manual (Safety Information)","2026-02-01"
"What is the difference between Natural Release and Quick Release?","Natural Release lets pressure drop gradually as the cooker cools, which can help reduce foaming and prevent food from spurting through the steam release. Quick Release vents steam rapidly by moving the steam release to venting, which is faster but can be vigorous.","Pressure Cooking","Instant Pot Duo User Manual (Pressure Release Methods)","2026-02-01"
"How long does a Natural Release take?","Natural Release time varies with the amount of food and liquid. Small loads may take around 10–15 minutes; larger or denser loads can take longer. Use the float valve as the indicator—release is complete when it drops.","Pressure Cooking","Instant Pot Duo User Manual (Pressure Release Methods)","2026-02-01"
"Why is steam leaking from the sides of the lid during cooking?","Steam leakage can occur if the sealing ring is not seated evenly, the lid is not fully closed, the sealing ring is damaged, or the lid/float valve area is dirty. Stop the cycle, let it cool and depressurize, then reseat/clean the sealing ring and lid parts.","Troubleshooting","Instant Pot Duo User Manual (Troubleshooting: Steam Leaks)","2026-02-01"
"Why is steam coming from the steam release valve during pressurizing?","Some steam during the pressurizing phase can be normal. If steam continues steadily and the cooker never reaches pressure, confirm the steam release is set to sealing and check the sealing ring and float valve for cleanliness and proper installation.","Troubleshooting","Instant Pot Duo User Manual (Troubleshooting: Not Sealing)","2026-02-01"
"Why won’t my Instant Pot Duo come to pressure?","Common causes include: not enough liquid, steam release set to venting instead of sealing, sealing ring not seated, food debris on the sealing ring or float valve, overfilling beyond max lines, or a lid not fully closed. Correct the issue and try again.","Troubleshooting","Instant Pot Duo User Manual (Troubleshooting: Not Pressurizing)","2026-02-01"
"Why isn’t the timer counting down yet?","The cooker counts down only after it reaches pressure (or after it finishes preheating for some non-pressure programs). During preheat/pressurizing, the display may show activity but the cook time has not started yet.","Pressure Cooking","Instant Pot Duo User Manual (Cooking Stages)","2026-02-01"
"What does the 'Burn' notice usually mean?","A 'Burn' notice generally indicates the cooker detected overheating at the bottom, often due to insufficient thin liquid, food sticking, thick sauces, or scorched residue on the inner pot. It is a protection feature to prevent further burning.","Troubleshooting","Instant Pot Duo User Manual (Troubleshooting: Burn)","2026-02-01"
"How do I respond if I get a 'Burn' notice?","1) Cancel the program. 2) Allow pressure to release safely. 3) Open the lid and check for sticking/burning. 4) Add more thin liquid if appropriate and scrape the bottom clean. 5) Avoid thickening agents during pressure cooking; thicken after cooking using Sauté.","Troubleshooting","Instant Pot Duo User Manual (Troubleshooting: Burn)","2026-02-01"
"How can I prevent burning when cooking thick foods (chili, curry, pasta sauce)?","Use enough thin liquid (water, broth), deglaze browned bits fully before pressure cooking, layer thick ingredients on top without stirring (if the recipe calls for it), and add dairy or thickeners after pressure cooking. Consider pot-in-pot for delicate sauces.","Cooking Tips","Instant Pot Duo User Manual (Cooking Tips)","2026-02-01"
"What is the minimum liquid required for pressure cooking?","Pressure cooking requires thin liquid to create steam. Use at least about 1 to 1.5 cups of thin liquid unless a tested recipe states otherwise for your specific size/model. Too little liquid can prevent pressure and trigger overheating warnings.","Pressure Cooking","Instant Pot Duo User Manual (Pressure Cooking Basics)","2026-02-01"
"What is the max fill line and why does it matter?","The inner pot has max fill indicators to prevent overfilling. Overfilling can clog the steam path and cause foaming or venting issues. For foods that expand or foam (beans, grains), stay below the lower max line recommended for those foods.","Safety","Instant Pot Duo User Manual (Max Fill)","2026-02-01"
"Can I cook dried beans in the Instant Pot Duo?","Yes. Rinse beans, avoid overfilling, and consider a Natural Release to reduce foaming. For very foamy beans, use enough water and do not exceed the recommended fill line for beans/grains.","Cooking Programs","Instant Pot Duo User Manual (Beans/Chili Guidance)","2026-02-01"
"Can I cook rice in the Instant Pot Duo?","Yes. Use a rice-to-water ratio appropriate for the type of rice, and allow a short Natural Release before opening. Rinse rice to reduce foam and sticking.","Cooking Programs","Instant Pot Duo User Manual (Rice Guidance)","2026-02-01"
